alt_name_x,gubernia,href,lat,long,name,province,google_maps,jewish_gen,usbgn,alt_name_y,notes,population,region,pop1,year1,pop2,year2,pop_diff,year_diff,pop_diff_year,google_lat,google_long
Baranowitz,?,/town/baranowice.htm,50?01',18?43',Baranowice,Katowice,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.016667,18.716667+(Baranowice)&ie=UTF8&ll=50.016667,18.716667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.016667&long=18.716667,0,,,,,,1900,,,,,,50.016667,18.716667
Barten,?,/town/barciany.htm,54?13',21?21',Barciany,Olsztyn,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.216667,21.35+(Barciany)&ie=UTF8&ll=54.216667,21.35&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.216667&long=21.35,0,,,,,,1900,,,,,,54.216667,21.35
?,?,/town/barczkow.htm,?,?,Barczkow,?,,,0,,,,,,1900,,,,,,,
?,?,/town/barglow_dworny.htm,53?47',22?52',Barglow Dworny,Bialystok,,,0,,,,,,1900,,,,,,,
Berlinchen,?,/town/barlinek.htm,52?59',15?12',Barlinek,Szczecin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.983333,15.2+(Barlinek)&ie=UTF8&ll=52.983333,15.2&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.983333&long=15.2,-492890,"Alternate?names: Barlinek [Pol], Berlinchen [Ger], Berlinek [Pol, 1945-47]","39 miles SE of Szczecin (Stettin), 17 miles N of Gorz?w Wielkopolski.","130 (in 1880), 26 (in 1933)",Prussia,130,1880,26,1933,-104.0,53.0,-1.9622641509433962,52.983333,15.2
Bartna Strona,Prussia,/town/bartna.htm,53?34',20?59',Bartna,Olsztyn,,,0,,,,,,1900,,,,,,,
Beutnersdorf,Prussia,/town/bartna_strona.htm,53?35',21?00',Bartna Strona,Olsztyn,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.583333,21+(Bartna Strona)&ie=UTF8&ll=53.583333,21&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.583333&long=21,0,,,,,,1900,,,,,,53.583333,21
Bartenstein,?,/town/bartoszyce.htm,54?15',20?48',Bartoszyce,Olsztyn,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.253333,20.807778+(Bartoszyce)&ie=UTF8&ll=54.253333,20.807778&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.253333&long=20.807778,-492966,"Alternate?names: Bartoszyce [Pol], Bartenstein [Ger]","In East Prussia, NE Poland, 34 miles SSE of Kaliningrad (K?nigsberg).",86 (in 1880),Prussia,86,1880,,,,,,54.253333,20.807778
Baerwalde,?,/town/barwice.htm,53?44',16?21',Barwice,Koszalin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.743611,16.355278+(Barwice)&ie=UTF8&ll=53.743611,16.355278&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.743611&long=16.355278,0,,,,,,1900,,,,,,53.743611,16.355278
?,?,/town/bedkow.htm,51?34',19?44',Bedkow,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.581944,19.747778+(Bedkow)&ie=UTF8&ll=51.581944,19.747778&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.581944&long=19.747778,-493057,"Alternate?names: B?dk?w [Pol], Bendkov [Yid], Bendkuv [Rus]","Russian: ???????.  Hebrew: ??????
17 miles SE of ??d?, 13 miles NNE of Piotrk?w Trybunalski.",~200,Piotrkow,200,1900,,,,,,51.581944,19.747778
Bendsburg,Piotrkow,/town/bedzin.htm,50?19',19?07',Bedzin,Katowice,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.325833,19.125278+(Bedzin)&ie=UTF8&ll=50.325833,19.125278&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.325833&long=19.125278,-493096,"Alternate?names: B?dzin [Pol], Bendin [Yid], Bendsburg [Ger, 1939-45], Bendzin [Ger, Rus]","Russian: ???????.  Yiddish: ??????
38 miles WNW of Krak?w, 32 miles S of Cz?stochowa.","10,839",Piotrkow,10839,1900,,,,,,50.325833,19.125278
?,Piotrkow,/town/belchatow.htm,51?22',19?21',Belchatow,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.368611,19.356667+(Belchatow)&ie=UTF8&ll=51.368611,19.356667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.368611&long=19.356667,-493112,"Alternate?names: Be?chat?w [Pol], Belchatov [Yid], Belkhatuv [Rus], Belkhatov","Russian: ????????.  Yiddish: ?????????
13 miles W of Piotrk?w Trybunalski.","2,987",Piotrkow,2987,1900,,,,,,51.368611,19.356667
?,?,/town/beldno.htm,?,?,Beldno,?,,,0,,,,,,1900,,,,,,,
"Belk, Nieder",?,/town/belk.htm,50?08',18?43',Belk,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.133333,18.716667+(Belk)&ie=UTF8&ll=50.133333,18.716667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.133333&long=18.716667,0,,,,,,1900,,,,,,50.133333,18.716667
?,Lublin,/town/belzyce.htm,51?10',22?16',Belzyce,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.174722,22.283056+(Belzyce)&ie=UTF8&ll=51.174722,22.283056&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.174722&long=22.283056,-493153,"Alternate?names: Be??yce [Pol], Belzhitza [Yid], Belzhytze [Rus], Belzhitse, Belzhyce, Belzhits","Russian: ???????.   Yiddish: ???????.   
 Hebrew: ???'???
13 miles WSW of Lublin.","1,705 (in 1897)",Lublin,1705,1897,,,,,,51.174722,22.283056
?,Suwalki,/town/berzniki.htm,54?05',23?28',Berzniki,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54.083333,23.466667+(Berzniki)&ie=UTF8&ll=54.083333,23.466667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54.083333&long=23.466667,-493203,"Alternate?names: Ber?niki [Pol], Berzhniki [Rus]","Russian: ????????.   
22 miles E of Suwa?ki, 5 miles ESE of Sejny, near the modern Poland-Lithuania border.",104 (in 1897),Suwalki,104,1897,,,,,,54.083333,23.466667
?,?,/town/biadoliny_szlac.htm,?,?,Biadoliny Szlacheckie,?,,,0,,,,,,1900,,,,,,,
"Zuelz, Biala Prudnica",?,/town/biala.htm,50?23',17?39',Biala,Opole,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.383333,17.65+(Biala)&ie=UTF8&ll=50.383333,17.65&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.383333&long=17.65,-493258,"Alternate?names: Bia?a Prudnicka [Pol], Z?lz [Ger], Zuelz","In Upper Silesia, 56 miles SSE of Wroc?aw (Breslau), 24 miles SW of Opole (Oppeln), 5 miles NNE of Prudnik (Neustadt).","755 (in 1840), 12 (in 1925)",Prussia,755,1840,12,1925,-743.0,85.0,-8.741176470588234,50.383333,17.65
?,Siedlce,/town/biala_podlaska.htm,52?02',23?08',Biala Podlaska,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.033333,23.133333+(Biala Podlaska)&ie=UTF8&ll=52.033333,23.133333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.033333&long=23.133333,-493309,"Alternate?names: Bia?a Podlaska [Pol], Podlyashe [Yid], Litvish Biale [Yid], Biala Gadol [Heb], Biala, Biala D'Lita","Russian: ????-???????? / ???? / ????.
 Yiddish: ????????  /  ??????? ?????.  
 Hebrew: ????? ???????  /  ?????-????????
24 miles W of Brest-Litovsk, 36 miles ESE of Siedlce.","6,549 (in 1897), 6,923 (in 1931)",Siedlce,6549,1897,6923,1931,374.0,34.0,11.0,52.033333,23.133333
?,Piotrkow,/town/biala_rawska.htm,51?48',20?29',Biala Rawska,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.8,20.483333+(Biala Rawska)&ie=UTF8&ll=51.8,20.483333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.8&long=20.483333,-493313,"Alternate?names: Bia?a Rawska [Pol], Biala Ravska [Rus], Biala Katan [Heb], Byale-Ravske [Yid], Biala Poshet, Bialo","Russian: ????-?????? / ????.   Yiddish: ?????????????
44 miles E of ??d?, 38 miles SW of Warszawa.","1,469 (in 1897), 1,429 (in 1921)",Piotrkow,1469,1897,1429,1921,-40.0,24.0,-1.6666666666666667,51.8,20.483333
?,Radom,/town/bialobrzegi.htm,51?39',20?57',Bialobrzegi,Kielce,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.65,20.95+(Bialobrzegi)&ie=UTF8&ll=51.65,20.95&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.65&long=20.95,-493419,"Alternate?names: Bia?obrzegi [Pol], Bialabzheg [Yid], Bialobzhegi [Rus], Bialobrzeg, Byalovzig","Russian: ?????????.   Hebrew: ???????'???
42 miles S of Warsaw, 18 miles NNW of Radom.","1,534",Radom,1534,1900,,,,,,51.65,20.95
Belgard,?,/town/bialogard.htm,54?00',16?00',Bialogard,Koszalin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=54,16+(Bialogard)&ie=UTF8&ll=54,16&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=54&long=16,-493427,"Alternate?names: Bia?ogard [Pol], Belgard [Ger], Bi??ogard [Pomm], Belgard an der Persante, Bia?ogrod","70 miles NE of Szczecin (Stettin), 16 miles SSW of Koszalin (K?slin), in Middle Pomerania, NW Poland.","281 (in 1880), 135 (in 1909)",Prussia,281,1880,135,1909,-146.0,29.0,-5.0344827586206895,54,16
Baldenburg,Prussia,/town/bialy_bor.htm,53?53',16?50',Bialy Bor,Koszalin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.883333,16.833333+(Bialy Bor)&ie=UTF8&ll=53.883333,16.833333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.883333&long=16.833333,-493482,"Alternate?names: Bia?y B?r [Pol], Baldenburg [Ger], Bia?obork, Bi??? B?r","In W Pomerania, 98 miles ENE of Szczecin, 81 miles WSW of Gda?sk (Danzig).",,Prussia,,1900,,,,,,53.883333,16.833333
Belyy Kamen,Galicia,/town/bialy_kamien.htm,49?54',24?50',Bialy Kamien,Ukraine,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.9,24.833333+(Bialy Kamien)&ie=UTF8&ll=49.9,24.833333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.9&long=24.833333,-1035313,"Alternate?names: Bilyi Kamin' [Ukr], Bia?y Kamie? [Pol], Bialikomin [Yid], Belyy Kamen' [Rus], Bialykamie?, Bilkamin","Ukrainian: ????? ??????.   Yiddish: ?????????.    Russian: ????? ??????.   
 Hebrew: ????? ?????.   

37 miles E of L'viv (Lw?w), 8 miles NW of Zolochiv (Z?ocz?w).","1,704 (in 1900), 298 (in 1921)",Tarnopol,1704,1900,298,1921,-1406.0,21.0,-66.95238095238095,49.9,24.833333
?,Grodno,/town/bialystok.htm,53?08',23?09',Bialystok,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.133333,23.15+(Bialystok)&ie=UTF8&ll=53.133333,23.15&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.133333&long=23.15,-493500,"Alternate?names: Bia?ystok [Pol], Byalistok [Yid], Belostok [Rus], Belastok [Bel], Balstog? [Lith], Bjalistoka [Latv], Bialistok, Bielastok","Russian: ????????.   Yiddish: ?????????.   
 Belarusian: ????????.    Hebrew: ??????????. 
Largest city in NE Poland, 109 mi NE of Warszawa.","47,783 (1895), 44,940 (1939)",Grodno,47783,1895,44940,1939,-2843.0,44.0,-64.61363636363636,53.133333,23.15
?,Galicia,/town/biecz.htm,49?44',21?15',Biecz,Rzeszow,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.733333,21.25+(Biecz)&ie=UTF8&ll=49.733333,21.25&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.733333&long=21.25,-493535,"Alternate?names: Biecz [Pol], Beitch [Yid], Beitsch [Ger], Baych, Baytsh, Beytch","Yiddish: ?????
64 miles ESE of Krak?w, 23 miles SSE of Tarn?w.","397 (in 1880), 632 (in 1921)",Krakow,397,1880,632,1921,235.0,41.0,5.7317073170731705,49.733333,21.25
?,Warszawa,/town/bielawy.htm,52?04',19?39',Bielawy,Lodz,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.066667,19.65+(Bielawy)&ie=UTF8&ll=52.066667,19.65&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.066667&long=19.65,-493610,"Alternate?names: Bielawy [Pol], Bielavi [Yid], Belyavi [Rus]","Russian: ??????.  Hebrew: ????????
There are 20 places named 'Bielawy' in Poland.
This one is 23 miles NNE of ??d?, 13 miles WSW of ?owicz.",176 (in 1857),Warszawa,176,1857,,,,,,52.066667,19.65
?,?,/town/bielcza.htm,?,?,Bielcza,?,,,0,,,,,,1900,,,,,,,
?,Plock,/town/bielsk.htm,52?40',19?48',Bielsk,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.666667,19.8+(Bielsk)&ie=UTF8&ll=52.666667,19.8&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.666667&long=19.8,-493693,"Alternate?names: Bielsk [Pol], Bel'sk [Rus]","Russian: ??????.   Hebrew: ??????
9 miles NNE of P?ock (Plotsk).

[Not to be confused with the larger cities of Bielsk Podlaski or Bielsko Bia?a].","341 (in 1897), 249 (in 1921)",Plock,341,1897,249,1921,-92.0,24.0,-3.8333333333333335,52.666667,19.8
?,Grodno,/town/bielsk_podlaski.htm,52?46',23?12',Bielsk Podlaski,Bialystok,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.766667,23.2+(Bielsk Podlaski)&ie=UTF8&ll=52.766667,23.2&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.766667&long=23.2,-493706,"Alternate?names: Bielsk Podlaski [Pol], Byelsk [Yid], Bielsk, Bilsk, Bielsko Podlaskie, Byelsk Podlaski, Bielsk-Podliask","Russian: ??????-???????? / ??????.    Yiddish: ?????? / ????? 
25 miles S of Bia?ystok, 68 miles SSW of Hrodna (Grodno).","4,079 (in 1897), 2,392 (in 1921)",Grodno,4079,1897,2392,1921,-1687.0,24.0,-70.29166666666667,52.766667,23.2
?,Galicia,/town/bielsko_biala.htm,49?49',19?02',Bielsko Biala,Krakow,,,0,,,,,,1900,,,,,,,
Neuberun,?,/town/bierun_nowy.htm,50?05',19?11',Bierun Nowy,Katowice,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.083333,19.183333+(Bierun Nowy)&ie=UTF8&ll=50.083333,19.183333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.083333&long=19.183333,0,,,,,,1900,,,,,,50.083333,19.183333
Bernstadt,?,/town/bierutow.htm,51?07',17?32',Bierutow,Wroclaw,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.116667,17.533333+(Bierutow)&ie=UTF8&ll=51.116667,17.533333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.116667&long=17.533333,-493771,"Alternate?names: Bierut?w [Pol], Bernstadt [Ger], Bernstadt in Schlesien, Bernstadt an der Weide","In Lower Silesia, 22 miles E of Wroc?aw (Breslau).","245 (in 1871), 52 (in 1933)",Prussia,245,1871,52,1933,-193.0,62.0,-3.1129032258064515,51.116667,17.533333
?,?,/town/biesiadki.htm,?,?,Biesiadki,?,,,0,,,,,,1900,,,,,,,
?,?,/town/biesnik.htm,?,?,Biesnik,?,,,0,,,,,,1900,,,,,,,
?,Plock,/town/biezun.htm,52?58',19?55',Biezun,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.966667,19.916667+(Biezun)&ie=UTF8&ll=52.966667,19.916667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.966667&long=19.916667,-493830,"Alternate?names: Bie?u? [Pol], Bizun [Yid], Byezhun' [Rus], Bezoyn","Russian: ??????.  Hebrew: ????'??
12 miles ENE of Sierpc, 30 miles NNE of P?ock (Plotsk).",779 (in 1921),Plock,779,1921,,,,,,52.966667,19.916667
?,Lublin,/town/bilgoraj.htm,50?33',22?42',Bilgoraj,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=50.55,22.7+(Bilgoraj)&ie=UTF8&ll=50.55,22.7&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=50.55&long=22.7,-493851,"Alternate?names: Bi?goraj [Pol], Bilgoray [Yid], Bilgorai [Rus], Bi?gora","Russian: ????????.   Yiddish: ????????
48 miles S of Lublin, 27 miles WSW of Zamo??.","3,486 (in 1897), 4,596 (in 1931)",Lublin,3486,1897,4596,1931,1110.0,34.0,32.64705882352941,50.55,22.7
"Biskupice Lubelski, Biskupice ",Lublin,/town/biskupice.htm,51?08',22?57',Biskupice,Lublin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.133333,22.95+(Biskupice)&ie=UTF8&ll=51.133333,22.95&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.133333&long=22.95,-493910,"Alternate?names: Biskupice [Pol], Biskopitza [Yid], Biskupice Lubelskie","Hebrew: ?????????
There are 30 places in Poland named 'Biskupice'.  
This one is 24 miles W of Che?m, 18 miles ESE of Lublin, 2 miles W of Trawniki.",543,Lublin,543,1900,,,,,,51.133333,22.95
Bischofsburg,Prussia,/town/biskupiec.htm,53?51',20?57',Biskupiec,Olsztyn,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.863611,20.955+(Biskupiec)&ie=UTF8&ll=53.863611,20.955&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.863611&long=20.955,-493925,"Alternate?names: Biskupiec [Pol], Bischofsburg [Ger]","62 miles SSE of Kaliningrad (K?nigsberg), 21 miles ENE of Olsztyn (Allenstein).
Seat of Landkreis R??el, E Prussia.","134 (in 1871), 79 (in 1905)",Prussia,134,1871,79,1905,-55.0,34.0,-1.6176470588235294,53.863611,20.955
?,Kalisz,/town/blaszki.htm,51?40',18?27',Blaszki,Poznan,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=51.666667,18.45+(Blaszki)&ie=UTF8&ll=51.666667,18.45&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=51.666667&long=18.45,-493961,"Alternate?names: B?aszki [Pol], Blashka [Yid], Blashki [Rus]","Russian: ??????.   Hebrew: ??????
44 miles W of ??d?, 17 miles ESE of Kalisz.","2,186 (in 1921)",Kalisz,2186,1921,,,,,,51.666667,18.45
?,Lwow,/town/blazowa.htm,49?53',22?06',Blazowa,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.883333,22.1+(Blazowa)&ie=UTF8&ll=49.883333,22.1&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.883333&long=22.1,-493976,"Alternate?names: B?a?owa [Pol], Blazhev [Yid], Blasow [Ger], Bluzhev, Bluzhov, Blazhova, Blazev, Blezov","Yiddish: ????????? / ?????????.   Hebrew: ????'???
12 miles SSE of Rzesz?w.","942 (in 1890), 930 (in 1921)",Lwow,942,1890,930,1921,-12.0,31.0,-0.3870967741935484,49.883333,22.1
Blesen,?,/town/bledzew.htm,52?31',15?24',Bledzew,Zielona,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.516667,15.4+(Bledzew)&ie=UTF8&ll=52.516667,15.4&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.516667&long=15.4,0,,,,,,1900,,,,,,52.516667,15.4
?,Warszawa,/town/blonie.htm,52?12',20?37',Blonie,Warszawa,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=52.2,20.616667+(Blonie)&ie=UTF8&ll=52.2,20.616667&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=52.2&long=20.616667,-494066,"Alternate?names: B?onie [Pol], Bloyna [Yid], Blonye [Rus], Bloyne","Russian: ?????.   Yiddish: ??????.   
 Hebrew: ??????
17 miles WSW of Warszawa.","1,027 (in 1897), 1,262 (in 1921)",Warszawa,1027,1897,1262,1921,235.0,24.0,9.791666666666666,52.2,20.616667
"Bublice, Bublitz",?,/town/bobolice.htm,53?57',16?36',Bobolice,Koszalin,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=53.95,16.6+(Bobolice)&ie=UTF8&ll=53.95,16.6&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=53.95&long=16.6,-494121,"Alternate?names: Bobolice [Pol], Bublitz [Ger]","In W Pomerania, 88 miles WSW of Gda?sk (Danzig), 90 miles ENE of Szczecin (Stettin).","189 (in 1861), 90 (in 1924)",Prussia,189,1861,90,1924,-99.0,63.0,-1.5714285714285714,53.95,16.6
?,Galicia,/town/bobowa.htm,49?42',20?56',Bobowa,?,"https://maps.google.com/maps?f=q&hl=en&geocode=&q=49.7,20.933333+(Bobowa)&ie=UTF8&ll=49.7,20.933333&z=12&iwloc=addr",https://data.jewishgen.org/maps/mapdist8.asp?lat=49.7&long=20.933333,-494126,"Alternate?names: Bobowa [Pol], Bobov [Yid], Bobova","52 miles ESE of Krak?w, 11 miles ENE of Nowy S?cz.",749,Krakow,749,1900,,,,,,49.7,20.933333
